# Force coefficients
# dragDir      : (1.0000000e+00 0.0000000e+00 0.0000000e+00)
# sideDir      : (0.0000000e+00 0.0000000e+00 -1.0000000e+00)
# liftDir      : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# rollAxis     : (1.0000000e+00 0.0000000e+00 0.0000000e+00)
# pitchAxis    : (0.0000000e+00 0.0000000e+00 -1.0000000e+00)
# yawAxis      : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# magUInf      : 1.0000000e+00
# lRef         : 6.0000000e-01
# Aref         : 1.3437500e+01
# CofR         : (0.0000000e+00 0.0000000e+00 0.0000000e+00)
#
# Time         	Cd             	Cs             	Cl             	CmRoll         	CmPitch        	CmYaw          	Cd(f)          	Cd(r)          	Cs(f)          	Cs(r)          	Cl(f)          	Cl(r)          
61             	1.1436847e-01	-3.0011932e-05	3.0492409e-04	1.4382925e-02	-7.7902842e-06	7.6307182e-04	7.1567162e-02	4.2801312e-02	7.4806585e-04	-7.7807778e-04	1.4467176e-04	1.6025233e-04
62             	1.1438022e-01	-3.0085801e-05	3.0541840e-04	1.4383030e-02	-1.3982112e-05	7.6197208e-04	7.1573140e-02	4.2807080e-02	7.4692918e-04	-7.7701498e-04	1.3872709e-04	1.6669131e-04
63             	1.1439080e-01	-3.0091588e-05	3.0588097e-04	1.4383122e-02	-1.9885394e-05	7.6187611e-04	7.1578523e-02	4.2812280e-02	7.4683032e-04	-7.7692190e-04	1.3305509e-04	1.7282588e-04
64             	1.1440033e-01	-3.0051443e-05	3.0630526e-04	1.4383202e-02	-2.5370864e-05	7.6245865e-04	7.1583368e-02	4.2816964e-02	7.4743293e-04	-7.7748437e-04	1.2778177e-04	1.7852350e-04
65             	1.1440890e-01	-2.9982211e-05	3.0668684e-04	1.4383272e-02	-3.0344512e-05	7.6347046e-04	7.1587723e-02	4.2821178e-02	7.4847936e-04	-7.7846157e-04	1.2299891e-04	1.8368793e-04
66             	1.1441659e-01	-2.9896291e-05	3.0702375e-04	1.4383333e-02	-3.4753996e-05	7.6472788e-04	7.1591629e-02	4.2824962e-02	7.4977974e-04	-7.7967603e-04	1.1875788e-04	1.8826587e-04
67             	1.1442350e-01	-2.9802996e-05	3.0731820e-04	1.4383386e-02	-3.8613563e-05	7.6609314e-04	7.1595135e-02	4.2828362e-02	7.5119164e-04	-7.8099464e-04	1.1504554e-04	1.9227266e-04
68             	1.1442969e-01	-2.9707485e-05	3.0757515e-04	1.4383433e-02	-4.1981460e-05	7.6748863e-04	7.1598279e-02	4.2831413e-02	7.5263489e-04	-7.8234237e-04	1.1180611e-04	1.9576903e-04
69             	1.1443525e-01	-2.9613728e-05	3.0779867e-04	1.4383474e-02	-4.4906153e-05	7.6885518e-04	7.1601098e-02	4.2834151e-02	7.5404831e-04	-7.8366204e-04	1.0899318e-04	1.9880549e-04
70             	1.1444023e-01	-2.9524406e-05	3.0799305e-04	1.4383509e-02	-4.7442456e-05	7.7015335e-04	7.1603626e-02	4.2836608e-02	7.5539115e-04	-7.8491555e-04	1.0655407e-04	2.0143898e-04
71             	1.1444470e-01	-2.9440596e-05	3.0816193e-04	1.4383541e-02	-4.9637156e-05	7.7136744e-04	7.1605888e-02	4.2838807e-02	7.5664714e-04	-7.8608774e-04	1.0444381e-04	2.0371812e-04
72             	1.1444869e-01	-2.9363478e-05	3.0830817e-04	1.4383568e-02	-5.1527532e-05	7.7248104e-04	7.1607913e-02	4.2840777e-02	7.5779930e-04	-7.8716278e-04	1.0262655e-04	2.0568162e-04
73             	1.1445225e-01	-2.9293267e-05	3.0843401e-04	1.4383592e-02	-5.3143318e-05	7.7349213e-04	7.1609718e-02	4.2842535e-02	7.5884550e-04	-7.8813876e-04	1.0107369e-04	2.0736032e-04
74             	1.1445545e-01	-2.9229579e-05	3.0854295e-04	1.4383613e-02	-5.4531293e-05	7.7440673e-04	7.1611339e-02	4.2844113e-02	7.5979194e-04	-7.8902152e-04	9.9740184e-05	2.0880277e-04
75             	1.1445832e-01	-2.9172024e-05	3.0863716e-04	1.4383631e-02	-5.5720939e-05	7.7523115e-04	7.1612791e-02	4.2845529e-02	7.6064514e-04	-7.8981716e-04	9.8597643e-05	2.1003952e-04
76             	1.1446088e-01	-2.9120148e-05	3.0871816e-04	1.4383647e-02	-5.6733649e-05	7.7597279e-04	7.1614088e-02	4.2846794e-02	7.6141272e-04	-7.9053286e-04	9.7625430e-05	2.1109273e-04
77             	1.1446317e-01	-2.9073562e-05	3.0878695e-04	1.4383661e-02	-5.7582154e-05	7.7663793e-04	7.1615248e-02	4.2847926e-02	7.6210115e-04	-7.9117471e-04	9.6811321e-05	2.1197563e-04
78             	1.1446523e-01	-2.9031748e-05	3.0884569e-04	1.4383673e-02	-5.8297132e-05	7.7723462e-04	7.1616286e-02	4.2848939e-02	7.6271874e-04	-7.9175049e-04	9.6125712e-05	2.1271998e-04
79             	1.1446706e-01	-2.8994399e-05	3.0889662e-04	1.4383684e-02	-5.8911165e-05	7.7776748e-04	7.1617213e-02	4.2849845e-02	7.6327029e-04	-7.9226468e-04	9.5537147e-05	2.1335948e-04
80             	1.1446870e-01	-2.8961275e-05	3.0894140e-04	1.4383693e-02	-5.9447528e-05	7.7823995e-04	7.1618044e-02	4.2850657e-02	7.6375931e-04	-7.9272058e-04	9.5023174e-05	2.1391823e-04
81             	1.1447017e-01	-2.8931697e-05	3.0898135e-04	1.4383701e-02	-5.9924382e-05	7.7866170e-04	7.1618787e-02	4.2851384e-02	7.6419585e-04	-7.9312755e-04	9.4566293e-05	2.1441506e-04
82             	1.1447148e-01	-2.8905303e-05	3.0901658e-04	1.4383708e-02	-6.0342338e-05	7.7903799e-04	7.1619449e-02	4.2852032e-02	7.6458534e-04	-7.9349064e-04	9.4165953e-05	2.1485063e-04
83             	1.1447265e-01	-2.8881869e-05	3.0904718e-04	1.4383715e-02	-6.0701570e-05	7.7937212e-04	7.1620040e-02	4.2852611e-02	7.6493118e-04	-7.9381305e-04	9.3822021e-05	2.1522516e-04
84             	1.1447369e-01	-2.8861177e-05	3.0907365e-04	1.4383720e-02	-6.1008846e-05	7.7966725e-04	7.1620565e-02	4.2853125e-02	7.6523666e-04	-7.9409784e-04	9.3527978e-05	2.1554567e-04
85             	1.1447462e-01	-2.8842843e-05	3.0909663e-04	1.4383725e-02	-6.1272406e-05	7.7992884e-04	7.1621034e-02	4.2853584e-02	7.6550742e-04	-7.9435027e-04	9.3275907e-05	2.1582072e-04
86             	1.1447545e-01	-2.8826487e-05	3.0911547e-04	1.4383729e-02	-6.1481424e-05	7.8016246e-04	7.1621453e-02	4.2853995e-02	7.6574922e-04	-7.9457571e-04	9.3076308e-05	2.1603916e-04
87             	1.1447619e-01	-2.8811762e-05	3.0912952e-04	1.4383733e-02	-6.1625425e-05	7.8037315e-04	7.1621827e-02	4.2854361e-02	7.6596727e-04	-7.9477903e-04	9.2939335e-05	2.1619018e-04
88             	1.1447685e-01	-2.8798449e-05	3.0913956e-04	1.4383736e-02	-6.1715489e-05	7.8056395e-04	7.1622161e-02	4.2854689e-02	7.6616473e-04	-7.9496318e-04	9.2854293e-05	2.1628527e-04
89             	1.1447744e-01	-2.8786557e-05	3.0914666e-04	1.4383739e-02	-6.1767726e-05	7.8073469e-04	7.1622460e-02	4.2854982e-02	7.6634141e-04	-7.9512797e-04	9.2805606e-05	2.1634106e-04
90             	1.1447797e-01	-2.8775846e-05	3.0915168e-04	1.4383742e-02	-6.1794257e-05	7.8088858e-04	7.1622727e-02	4.2855243e-02	7.6650065e-04	-7.9527650e-04	9.2781583e-05	2.1637010e-04
91             	1.1447844e-01	-2.8766323e-05	3.0915590e-04	1.4383744e-02	-6.1814297e-05	7.8102527e-04	7.1622963e-02	4.2855476e-02	7.6664210e-04	-7.9540843e-04	9.2763654e-05	2.1639225e-04
92             	1.1447885e-01	-2.8757987e-05	3.0915971e-04	1.4383746e-02	-6.1832922e-05	7.8114475e-04	7.1623173e-02	4.2855681e-02	7.6676575e-04	-7.9552374e-04	9.2746931e-05	2.1641277e-04
93             	1.1447922e-01	-2.8750803e-05	3.0916401e-04	1.4383748e-02	-6.1863641e-05	7.8124739e-04	7.1623357e-02	4.2855862e-02	7.6687199e-04	-7.9562280e-04	9.2718362e-05	2.1644564e-04
94             	1.1447954e-01	-2.8744699e-05	3.0916923e-04	1.4383749e-02	-6.1912326e-05	7.8133420e-04	7.1623519e-02	4.2856021e-02	7.6696186e-04	-7.9570655e-04	9.2672288e-05	2.1649694e-04
95             	1.1447982e-01	-2.8739538e-05	3.0917532e-04	1.4383750e-02	-6.1977524e-05	7.8140719e-04	7.1623661e-02	4.2856160e-02	7.6703742e-04	-7.9577696e-04	9.2610135e-05	2.1656518e-04
96             	1.1448007e-01	-2.8735149e-05	3.0918162e-04	1.4383752e-02	-6.2048596e-05	7.8146896e-04	7.1623786e-02	4.2856283e-02	7.6710138e-04	-7.9583653e-04	9.2542212e-05	2.1663941e-04
97             	1.1448029e-01	-2.8731335e-05	3.0918710e-04	1.4383753e-02	-6.2109573e-05	7.8152250e-04	7.1623896e-02	4.2856391e-02	7.6715683e-04	-7.9588817e-04	9.2483977e-05	2.1670312e-04
98             	1.1448048e-01	-2.8727874e-05	3.0919037e-04	1.4383753e-02	-6.2138872e-05	7.8157129e-04	7.1623993e-02	4.2856486e-02	7.6720735e-04	-7.9593523e-04	9.2456315e-05	2.1673406e-04
99             	1.1448065e-01	-2.8724441e-05	3.0918933e-04	1.4383754e-02	-6.2104113e-05	7.8162033e-04	7.1624082e-02	4.2856573e-02	7.6725811e-04	-7.9598255e-04	9.2490551e-05	2.1669878e-04
