# Force        
# CofR         : (0.0000000e+00 0.0000000e+00 0.0000000e+00)
#
# Time         	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)	(porous_x porous_y porous_z)
88             	(7.6914134e-01 2.0770314e-03 1.9348958e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6914134e-01 2.0770314e-03 1.9348958e-04)
89             	(7.6914532e-01 2.0770792e-03 1.9340968e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6914532e-01 2.0770792e-03 1.9340968e-04)
90             	(7.6914886e-01 2.0771128e-03 1.9333771e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6914886e-01 2.0771128e-03 1.9333771e-04)
91             	(7.6915201e-01 2.0771412e-03 1.9327374e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6915201e-01 2.0771412e-03 1.9327374e-04)
92             	(7.6915480e-01 2.0771668e-03 1.9321773e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6915480e-01 2.0771668e-03 1.9321773e-04)
93             	(7.6915725e-01 2.0771957e-03 1.9316946e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6915725e-01 2.0771957e-03 1.9316946e-04)
94             	(7.6915941e-01 2.0772307e-03 1.9312844e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6915941e-01 2.0772307e-03 1.9312844e-04)
95             	(7.6916130e-01 2.0772717e-03 1.9309377e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6916130e-01 2.0772717e-03 1.9309377e-04)
96             	(7.6916296e-01 2.0773140e-03 1.9306428e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6916296e-01 2.0773140e-03 1.9306428e-04)
97             	(7.6916442e-01 2.0773508e-03 1.9303866e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6916442e-01 2.0773508e-03 1.9303866e-04)
98             	(7.6916572e-01 2.0773728e-03 1.9301541e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6916572e-01 2.0773728e-03 1.9301541e-04)
99             	(7.6916690e-01 2.0773658e-03 1.9299234e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6916690e-01 2.0773658e-03 1.9299234e-04)
100            	(7.6916797e-01 2.0773264e-03 1.9296845e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6916797e-01 2.0773264e-03 1.9296845e-04)
101            	(7.6916896e-01 2.0772588e-03 1.9294339e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6916896e-01 2.0772588e-03 1.9294339e-04)
102            	(7.6916988e-01 2.0771724e-03 1.9291758e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6916988e-01 2.0771724e-03 1.9291758e-04)
103            	(7.6917071e-01 2.0770841e-03 1.9289247e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6917071e-01 2.0770841e-03 1.9289247e-04)
