# Moment       
# CofR         : (0.0000000e+00 0.0000000e+00 0.0000000e+00)
#
# Time         	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)	(porous_x porous_y porous_z)
83             	(5.7984350e-02 3.1418438e-03 2.4470320e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7984350e-02 3.1418438e-03 2.4470320e-04)
84             	(5.7984372e-02 3.1430336e-03 2.4594191e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7984372e-02 3.1430336e-03 2.4594191e-04)
85             	(5.7984391e-02 3.1440882e-03 2.4700439e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7984391e-02 3.1440882e-03 2.4700439e-04)
86             	(5.7984408e-02 3.1450299e-03 2.4784699e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7984408e-02 3.1450299e-03 2.4784699e-04)
87             	(5.7984423e-02 3.1458793e-03 2.4842749e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7984423e-02 3.1458793e-03 2.4842749e-04)
88             	(5.7984436e-02 3.1466484e-03 2.4879056e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7984436e-02 3.1466484e-03 2.4879056e-04)
89             	(5.7984448e-02 3.1473367e-03 2.4900114e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7984448e-02 3.1473367e-03 2.4900114e-04)
90             	(5.7984458e-02 3.1479571e-03 2.4910810e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7984458e-02 3.1479571e-03 2.4910810e-04)
91             	(5.7984467e-02 3.1485081e-03 2.4918889e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7984467e-02 3.1485081e-03 2.4918889e-04)
92             	(5.7984475e-02 3.1489898e-03 2.4926396e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7984475e-02 3.1489898e-03 2.4926396e-04)
93             	(5.7984482e-02 3.1494036e-03 2.4938780e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7984482e-02 3.1494036e-03 2.4938780e-04)
94             	(5.7984488e-02 3.1497535e-03 2.4958406e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7984488e-02 3.1497535e-03 2.4958406e-04)
95             	(5.7984494e-02 3.1500477e-03 2.4984689e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7984494e-02 3.1500477e-03 2.4984689e-04)
96             	(5.7984498e-02 3.1502967e-03 2.5013340e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7984498e-02 3.1502967e-03 2.5013340e-04)
97             	(5.7984503e-02 3.1505126e-03 2.5037922e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7984503e-02 3.1505126e-03 2.5037922e-04)
98             	(5.7984506e-02 3.1507093e-03 2.5049733e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7984506e-02 3.1507093e-03 2.5049733e-04)
99             	(5.7984510e-02 3.1509070e-03 2.5035721e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7984510e-02 3.1509070e-03 2.5035721e-04)
100            	(5.7984513e-02 3.1511151e-03 2.4992905e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7984513e-02 3.1511151e-03 2.4992905e-04)
101            	(5.7984516e-02 3.1513367e-03 2.4925181e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7984516e-02 3.1513367e-03 2.4925181e-04)
102            	(5.7984518e-02 3.1515670e-03 2.4841243e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7984518e-02 3.1515670e-03 2.4841243e-04)
103            	(5.7984521e-02 3.1517920e-03 2.4756573e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7984521e-02 3.1517920e-03 2.4756573e-04)
104            	(5.7984523e-02 3.1519922e-03 2.4686237e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7984523e-02 3.1519922e-03 2.4686237e-04)
105            	(5.7984524e-02 3.1521415e-03 2.4648631e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7984524e-02 3.1521415e-03 2.4648631e-04)
